type,variable,objetmetier,valeur,saisie,sessions,uri
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.52/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.104
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.52/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.105
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.53/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.106
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.53/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.107
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.54/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.108
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.54/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.109
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.55/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.110
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.55/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.111
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.56/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.112
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.56/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.113
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.57/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.114
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.57/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.115
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.58/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.116
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.58/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.117
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.59/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.118
