combinaisons,nom,nomcourt,nbrepetitions,plateforme,dispositifs,protocoles,uri
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.91'],25_5,92,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.91
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.92'],27_13,93,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.92
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.93'],41_1,94,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.93
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.94'],13_15,95,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.94
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.95'],14_23,96,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.95
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.96'],10_1,97,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.96
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.97'],13_16,98,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.97
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.98'],16_11,99,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.98
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.99'],25_6,100,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.99
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.100'],14_25,101,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.100
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.101'],26_8,102,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.101
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.102'],13_17,103,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.102
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.103'],5_4,104,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.103
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.104'],11_20,105,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.104
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.105'],17_18,106,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.105
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.106'],13_19,107,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.106
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.107'],5_5,108,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.107
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.108'],18_15,109,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.108
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.109'],2_7,110,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.109
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.110'],32_10,111,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.110
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.111'],17_3,112,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.111
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.112'],6_11,113,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.112
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.113'],26_10,114,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.113
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.114'],29_5,115,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.114
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.115'],18_14,116,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.115
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.116'],32_9,117,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.116
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.117'],29_4,118,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.117
